,Fund_Ticker,Benchmark_Index,R_Squared,Beta,Alpha,Treynor_Ratio,Currency,Year_Trailing,Std_Dev,Return,Sharpe_Ratio,Sortino_Ratio,Bear_MktPercentile_Rank
0,MACPX,Morningstar Moderate Target Risk,87.27,0.96,3.94,15.31,USD,3,6.55,14.75,2.13,4.24,
1,MACPX,Morningstar Moderate Target Risk,89.67,1.03,2.2,11.33,USD,5,9.19,11.75,1.25,2.14,18.00
2,MACPX,Morningstar Moderate Target Risk,91.76,1.05,-0.52,4.8,USD,10,10.59,6.57,0.51,0.7,
3,MACPX,Morningstar Moderate Target Risk,90.18,1.06,-1.05,3.2,USD,15,10.6,5.37,0.36,0.5,
