,Fund_Ticker,Benchmark_Index,R_Squared,Beta,Alpha,Treynor_Ratio,Currency,Year_Trailing,Std_Dev,Return,Sharpe_Ratio,Sortino_Ratio,Bear_MktPercentile_Rank
0,STLAX,Morningstar Moderate Target Risk,90.28,0.66,-0.23,10.28,USD,3,4.46,6.89,1.51,2.61,
1,STLAX,Morningstar Moderate Target Risk,94.16,0.64,0.81,10.34,USD,5,5.61,6.75,1.18,2.11,6.00
2,STLAX,Morningstar Moderate Target Risk,94.35,0.71,-0.08,5.37,USD,10,7.0,5.31,0.56,0.8,
3,STLAX,Morningstar Moderate Target Risk,88.8,0.63,0.31,4.95,USD,15,6.28,5.07,0.51,0.73,
