,Fund_Ticker,Benchmark_Index,R_Squared,Beta,Alpha,Treynor_Ratio,Currency,Year_Trailing,Std_Dev,Return,Sharpe_Ratio,Sortino_Ratio,Bear_MktPercentile_Rank
0,ONGAX,Morningstar Moderate Target Risk,91.56,1.41,1.4,11.99,USD,3,9.41,16.98,1.72,3.11,
1,ONGAX,Morningstar Moderate Target Risk,94.82,1.49,-0.89,8.32,USD,5,12.9,12.45,0.97,1.61,42.00
2,ONGAX,Morningstar Moderate Target Risk,95.95,1.41,-1.37,4.16,USD,10,13.9,7.38,0.47,0.67,
3,ONGAX,Morningstar Moderate Target Risk,95.2,1.46,-2.33,2.41,USD,15,14.18,5.48,0.31,0.43,
