,Fund_Ticker,Benchmark_Index,R_Squared,Beta,Alpha,Treynor_Ratio,Currency,Year_Trailing,Std_Dev,Return,Sharpe_Ratio,Sortino_Ratio,Bear_MktPercentile_Rank
0,FNIAX,S&P 500 TR USD,81.89,0.97,-1.42,18.99,USD,3,9.66,18.41,1.80,3.65,
1,FNIAX,S&P 500 TR USD,81.89,0.97,-1.42,18.99,USD,5,12.44,14.74,1.17,2.10,26.00
2,FNIAX,S&P 500 TR USD,81.89,0.97,-1.42,18.99,USD,10,14.04,9.65,0.62,0.91,
3,FNIAX,S&P 500 TR USD,81.89,0.97,-1.42,18.99,USD,15,,,,,
