,Fund_Ticker,Benchmark_Index,R_Squared,Beta,Alpha,Treynor_Ratio,Currency,Year_Trailing,Std_Dev,Return,Sharpe_Ratio,Sortino_Ratio,Bear_MktPercentile_Rank
0,SRINX,Barclays US Agg Bond TR USD,72.96,1.24,2.37,4.93,USD,3,3.92,6.15,1.53,2.76,
1,SRINX,Barclays US Agg Bond TR USD,41.87,0.94,2.94,7.26,USD,5,4.08,6.88,1.63,3.07,32.00
2,SRINX,Barclays US Agg Bond TR USD,41.38,1.15,0.52,3.66,USD,10,5.75,5.73,0.72,1.13,
3,SRINX,Barclays US Agg Bond TR USD,44.41,1.03,0.94,4.58,USD,15,5.32,6.67,0.86,1.38,
