,Fund_Ticker,Benchmark_Index,R_Squared,Beta,Alpha,Treynor_Ratio,Currency,Year_Trailing,Std_Dev,Return,Sharpe_Ratio,Sortino_Ratio,Bear_MktPercentile_Rank
0,VHIAX,S&P 500 TR USD,72.74,1.20,-2.54,18.36,USD,3,12.74,22.11,1.64,3.42,
1,VHIAX,S&P 500 TR USD,72.74,1.20,-2.54,18.36,USD,5,16.57,17.98,1.08,1.97,67.00
2,VHIAX,S&P 500 TR USD,72.74,1.20,-2.54,18.36,USD,10,17.50,11.09,0.60,0.90,
3,VHIAX,S&P 500 TR USD,72.74,1.20,-2.54,18.36,USD,15,26.48,1.78,0.13,0.18,
