,Fund_Ticker,Benchmark_Index,R_Squared,Beta,Alpha,Treynor_Ratio,Currency,Year_Trailing,Std_Dev,Return,Sharpe_Ratio,Sortino_Ratio,Bear_MktPercentile_Rank
0,PCRIX,Morningstar Long-Only Commodity TR,76.75,0.9,-2.14,-8.65,USD,3,13.55,-7.7,-0.53,-0.66,
1,PCRIX,Morningstar Long-Only Commodity TR,87.83,0.99,-0.87,-1.32,USD,5,16.82,-1.23,0.01,0.01,26.00
2,PCRIX,Morningstar Long-Only Commodity TR,89.14,1.07,-1.43,-1.15,USD,10,21.28,0.3,0.05,0.07,
3,PCRIX,Morningstar Long-Only Commodity TR,,,,,USD,15,,,,,
