,Fund_Ticker,Benchmark_Index,R_Squared,Beta,Alpha,Treynor_Ratio,Currency,Year_Trailing,Std_Dev,Return,Sharpe_Ratio,Sortino_Ratio,Bear_MktPercentile_Rank
0,VGXRX,MSCI ACWI NR USD,59.82,1.08,-1.36,12.87,USD,3,14.76,14.02,0.96,1.6,
1,VGXRX,MSCI ACWI NR USD,,,,,USD,5,,,,,
2,VGXRX,MSCI ACWI NR USD,,,,,USD,10,,,,,
3,VGXRX,MSCI ACWI NR USD,,,,,USD,15,,,,,
