,Year,FAPAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.64,5.0,5.0
1,2012,4.56,6.78,5.62,-2.22,-1.07,0.65,5.0,68.0
2,2013,-1.17,-2.55,-2.27,1.38,1.09,0.65,4.0,14.0
3,YTD,3.85,8.5,6.44,-4.66,-2.6,0.65,2.0,93.0
