,Year,FFNAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-23.37,-22.19,-18.61,-1.18,-4.76,1.0,1.0,73.0
1,2009,25.56,21.77,20.77,3.79,4.79,0.9,27.0,20.0
2,2010,11.92,12.33,10.03,-0.42,1.88,0.89,22.0,21.0
3,2011,0.24,0.59,1.7,-0.35,-1.47,0.89,20.0,75.0
4,2012,9.88,12.04,9.4,-2.16,0.48,0.89,21.0,47.0
5,2013,10.65,14.31,7.23,-3.66,3.42,0.86,22.0,19.0
6,YTD,5.53,5.81,4.98,-0.27,0.55,0.85,11.0,34.0
