,Year,FTRAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,,,,,,0.5,2.0,2.0
1,2007,9.84,8.63,5.84,1.2,3.99,0.48,8.0,2.0
2,2008,-25.55,-22.19,-27.76,-3.36,2.21,0.51,9.0,26.0
3,2009,28.5,21.77,23.55,6.72,4.95,0.46,12.0,14.0
4,2010,12.77,12.33,11.5,0.43,1.27,0.45,17.0,25.0
5,2011,-0.82,0.59,-0.27,-1.41,-0.55,0.45,32.0,64.0
6,2012,9.2,12.04,10.65,-2.85,-1.45,0.45,25.0,82.0
7,2013,12.27,14.31,9.65,-2.04,2.62,0.38,74.0,31.0
8,YTD,4.19,5.81,5.38,-1.62,-1.19,-1.19,-1.19,83.0
