,Year,FARSX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-27.84,-22.19,-18.06,-5.65,-9.78,0.25,12.0,47.0
1,2009,26.09,21.77,18.36,4.31,7.72,0.26,46.0,37.0
2,2010,12.44,12.33,8.94,0.11,3.51,0.25,22.0,38.0
3,2011,-1.46,0.59,1.6,-2.05,-3.06,0.25,39.0,86.0
4,2012,11.97,12.04,9.01,-0.08,2.96,0.25,34.0,12.0
5,2013,16.3,14.31,7.36,1.99,8.93,0.25,35.0,9.0
6,YTD,6.26,5.81,5.03,0.45,1.22,0.25,19.0,18.0
