,Year,PPUAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,13.04,16.65,12.71,-3.61,0.33,1.09,197.0,40.0
1,2008,-42.86,-45.53,-43.99,2.67,1.13,1.06,384.0,38.0
2,2009,42.06,41.45,31.24,0.61,10.82,1.04,456.0,9.0
3,2010,15.94,11.15,10.24,4.79,5.71,1.04,493.0,7.0
4,2011,-11.02,-13.71,-13.97,2.69,2.95,1.04,427.0,16.0
5,2012,28.7,16.83,18.29,11.87,10.41,1.04,778.0,3.0
6,2013,20.0,15.29,19.44,4.71,0.56,1.04,574.0,49.0
7,YTD,-1.18,-0.27,-1.63,-0.91,0.46,1.04,395.0,40.0
