,Year,TEMMX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,29.19,16.65,36.68,12.54,-7.49,2.15,50.0,85.0
1,2008,-60.36,-45.53,-54.44,-14.84,-5.92,2.15,102.0,91.0
2,2009,104.53,41.45,73.81,63.08,30.72,2.09,65.0,5.0
3,2010,30.3,11.15,19.26,19.15,11.04,2.1,62.0,2.0
4,2011,-27.59,-13.71,-19.86,-13.88,-7.73,2.1,18.0,94.0
5,2012,27.86,16.83,18.15,11.03,9.71,2.1,7.0,6.0
6,2013,4.73,15.29,-0.14,-10.56,4.87,2.1,15.0,18.0
7,YTD,6.3,-0.27,1.96,6.57,4.34,2.1,22.0,11.0
