,Year,FNAPX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,15.54,16.0,15.46,-0.46,0.08,1.16,11.0,48.0
1,2013,35.5,32.39,37.39,3.11,-1.89,1.16,66.0,69.0
2,YTD,3.03,13.98,1.83,-10.95,1.2,1.16,117.0,39.0
