,Year,FSGGX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.1,1.0,1.0
1,2012,17.79,16.83,18.29,0.96,-0.5,0.1,7.0,57.0
2,2013,14.27,15.29,19.44,-1.02,-5.17,0.1,6.0,88.0
3,YTD,-0.57,-0.27,-1.63,-0.29,1.07,1.07,1.07,30.0
