,Year,PTYAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,0.74,0.74,0.74
1,2009,24.1,21.77,24.25,2.32,-0.16,0.82,232.0,60.0
2,2010,9.73,12.33,12.27,-2.6,-2.54,1.03,13.0,94.0
3,2011,1.37,0.59,-0.22,0.77,1.58,1.0,1.0,13.0
4,2012,9.06,12.04,11.68,-2.98,-2.62,0.82,25.0,92.0
5,2013,1.68,14.31,11.57,-12.63,-9.89,0.72,11.0,97.0
6,YTD,5.97,5.81,5.64,0.17,0.33,0.67,38.0,38.0
