,Year,OAMIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,10.07,12.95,11.29,-2.89,-1.23,0.46,0.46,17.0
1,2007,6.07,8.63,5.99,-2.56,0.08,0.4,4.0,50.0
2,2008,-39.1,-22.19,-28.0,-16.9,-11.09,0.37,3.0,96.0
3,2009,21.99,21.77,24.13,0.22,-2.14,0.42,9.0,64.0
4,2010,12.97,12.33,11.83,0.63,1.13,0.51,13.0,30.0
5,2011,-1.41,0.59,-0.11,-2.0,-1.3,0.47,43.0,64.0
6,2012,11.43,12.04,11.72,-0.61,-0.29,0.45,12.0,63.0
7,2013,15.43,14.31,16.48,1.12,-1.05,0.39,23.0,65.0
8,YTD,5.84,5.81,6.95,0.03,-1.11,0.41,6.0,69.0
