,Year,FFKDX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,13.07,12.33,12.27,0.73,0.8,0.05,20.0,38.0
1,2011,-1.24,0.59,-0.22,-1.84,-1.03,0.05,37.0,63.0
2,2012,11.86,12.04,11.68,-0.18,0.18,0.05,21.0,44.0
3,2013,13.35,14.31,11.57,-0.96,1.78,0.05,23.0,39.0
4,YTD,6.33,5.81,5.64,0.52,0.69,0.05,43.0,26.0
