,Year,JCHAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,2.0,50.0,50.0
1,2008,-50.68,-45.53,-52.09,-5.15,1.41,2.05,122.0,39.0
2,2009,62.74,41.45,64.47,21.29,-1.73,2.0,102.0,46.0
3,2010,15.62,11.15,13.39,4.47,2.23,2.0,79.0,37.0
4,2011,-24.78,-13.71,-24.95,-11.08,0.17,2.0,83.0,75.0
5,2012,25.48,16.83,18.42,8.65,7.06,1.98,85.0,8.0
6,2013,10.97,15.29,10.71,-4.32,0.26,1.85,72.0,56.0
7,YTD,6.05,-0.27,2.72,6.33,3.33,3.33,3.33,23.0
