,Year,LIKIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.23,0.23,0.23
1,2012,15.01,12.04,14.64,2.97,0.37,0.19,3.0,46.0
2,2013,18.61,14.31,19.97,4.3,-1.36,0.2,12.0,76.0
3,YTD,8.11,5.81,6.5,2.31,1.62,1.62,1.62,15.0
