,Year,FRQAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-26.22,-22.19,-18.06,-4.03,-8.16,0.25,12.0,33.0
1,2009,25.08,21.77,18.36,3.3,6.71,0.25,53.0,42.0
2,2010,12.09,12.33,8.94,-0.25,3.15,0.25,31.0,46.0
3,2011,-1.04,0.59,1.6,-1.63,-2.64,0.25,24.0,79.0
4,2012,11.45,12.04,9.01,-0.6,2.44,0.25,50.0,17.0
5,2013,15.21,14.31,7.36,0.9,7.84,0.25,32.0,14.0
6,YTD,6.14,5.81,5.03,0.34,1.11,0.25,27.0,23.0
