,Year,FEYPX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,21.0,14.31,21.02,6.69,-0.02,0.1,1.0,69.0
1,YTD,6.85,5.81,6.68,1.04,0.16,0.1,21.0,46.0
