,Year,PSRZX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,7.03,4.21,9.43,2.81,-2.41,1.1,160.0,91.0
1,2013,4.15,-2.02,5.68,6.17,-1.53,1.1,125.0,87.0
2,YTD,2.04,5.87,1.88,-3.83,0.16,1.05,132.0,40.0
