,Year,FVWSX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,1.0,64.0,64.0
1,2013,41.14,32.39,33.92,8.75,7.22,0.77,52.0,8.0
2,YTD,10.73,13.98,10.79,-3.25,-0.06,-0.06,-0.06,52.0
