,Year,LPBAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,,,,,,0.98,2.0,2.0
1,2011,0.18,0.59,-2.06,-0.42,2.23,0.99,0.99,12.0
2,2012,11.84,12.04,13.03,-0.21,-1.19,1.01,4.0,74.0
3,2013,11.52,14.31,15.3,-2.79,-3.78,1.0,30.0,86.0
4,YTD,5.81,5.81,6.13,0.01,-0.31,-0.31,-0.31,63.0
