,Year,JSMAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,,,,,,0.44,6.0,6.0
1,2007,5.98,8.63,6.5,-2.66,-0.52,0.44,27.0,60.0
2,2008,-33.92,-22.19,-36.04,-11.73,2.12,0.44,33.0,27.0
3,2009,32.45,21.77,28.87,10.67,3.58,0.44,52.0,20.0
4,2010,16.25,12.33,13.47,3.92,2.78,0.3,26.0,6.0
5,2011,-4.2,0.59,-2.26,-4.79,-1.94,0.29,12.0,80.0
6,2012,16.88,12.04,13.59,4.84,3.29,0.29,15.0,1.0
7,2013,19.68,14.31,16.65,5.37,3.03,0.29,21.0,33.0
8,YTD,8.21,5.81,6.17,2.41,2.05,0.29,10.0,2.0
