,Year,PCTTX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,-3.6,-2.55,-3.71,-1.05,0.11,0.79,22.0,49.0
1,YTD,9.01,8.5,11.21,0.5,-2.21,0.79,65.0,96.0
