,Year,BMSAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,,,,,,0.94,349.0,349.0
1,2011,3.21,7.84,1.63,-4.63,1.58,0.95,589.0,57.0
2,2012,9.5,4.21,9.43,5.29,0.07,0.95,507.0,77.0
3,2013,5.66,-2.02,5.68,7.69,-0.02,0.95,156.0,34.0
4,YTD,3.61,5.87,1.88,-2.26,1.73,0.95,65.0,2.0
