,Year,FIKFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,5.96,12.33,8.94,-6.37,-2.98,0.04,18.0,92.0
1,2011,2.47,0.59,1.6,1.87,0.87,0.06,36.0,37.0
2,2012,4.8,12.04,9.01,-7.24,-4.21,0.09,31.0,95.0
3,2013,3.1,14.31,7.36,-11.21,-4.27,0.1,19.0,79.0
4,YTD,4.3,5.81,5.03,-1.51,-0.73,0.08,43.0,74.0
