,Year,FEDCX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.9,45.0,45.0
1,2012,19.07,4.21,17.95,14.86,1.13,0.85,41.0,37.0
2,2013,-4.22,-2.02,-7.27,-2.19,3.05,0.84,36.0,13.0
3,YTD,6.36,5.87,3.43,0.49,2.93,2.93,2.93,25.0
