,Year,CSLGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,42.93,32.39,33.92,10.54,9.01,1.19,44.0,6.0
1,YTD,10.94,13.98,10.79,-3.04,0.15,1.19,64.0,50.0
