,Year,MKLHX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,0.65,144.0,144.0
1,2009,31.92,26.46,35.68,5.46,-3.76,0.66,242.0,65.0
2,2010,12.65,15.06,15.53,-2.42,-2.88,0.67,232.0,74.0
3,2011,0.88,2.11,-2.46,-1.23,3.34,0.67,169.0,23.0
4,2012,19.26,16.0,15.34,3.25,3.92,0.64,132.0,13.0
5,2013,33.25,32.39,33.92,0.86,-0.67,0.67,54.0,54.0
6,YTD,14.61,13.98,10.79,0.63,3.82,0.74,49.0,11.0
