,Year,FAMGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,1.17,68.0,68.0
1,2013,41.23,32.39,33.92,8.85,7.31,0.8,52.0,8.0
2,YTD,10.54,13.98,10.79,-3.44,-0.25,-0.25,-0.25,55.0
