,Year,PRAFX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,,,,,,0.79,12.0,12.0
1,2011,-13.61,-5.54,-13.97,-8.07,0.36,0.85,30.0,79.0
2,2012,11.35,15.83,4.34,-4.48,7.01,0.86,41.0,85.0
3,2013,-1.3,26.68,8.75,-27.98,-10.05,0.85,52.0,99.0
4,YTD,2.87,6.66,-10.45,-3.79,13.31,13.31,13.31,2.0
