,Year,JAPFX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,1.62,215.0,215.0
1,2013,6.79,15.29,2.21,-8.5,4.58,1.55,89.0,17.0
2,YTD,4.39,-0.27,8.16,4.66,-3.77,-3.77,-3.77,82.0
