,Year,PCLAX_Returns,Morningstar Long-Only Commodity TR,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,-2.93,-5.32,-8.05,2.39,5.11,1.24,82.0,18.0
1,2012,4.78,3.66,-0.79,1.12,5.56,1.24,66.0,10.0
2,2013,-2.0,-3.75,-9.08,1.75,7.08,1.24,107.0,9.0
3,YTD,-16.04,-15.33,-11.72,-0.71,-4.32,1.24,102.0,86.0
