,Year,FSSFX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,,,,,,0.95,4.0,4.0
1,YTD,6.71,13.98,1.83,-7.27,4.88,4.88,4.88,7.0
