,Year,BRGNX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.22,10.0,10.0
1,2012,16.42,16.0,14.96,0.42,1.46,0.23,16.0,27.0
2,2013,33.09,32.39,31.5,0.7,1.59,0.23,14.0,34.0
3,YTD,13.33,13.98,11.28,-0.65,2.05,2.05,2.05,30.0
