,Year,POFAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,0.84,0.84,0.84
1,2009,35.15,21.77,30.9,13.37,4.25,0.93,244.0,15.0
2,2010,12.97,12.33,14.37,0.64,-1.4,1.08,13.0,76.0
3,2011,-1.94,0.59,-3.49,-2.53,1.55,1.06,7.0,13.0
4,2012,12.85,12.04,14.64,0.81,-1.79,0.88,47.0,87.0
5,2013,7.3,14.31,19.97,-7.01,-12.68,0.77,3.0,93.0
6,YTD,6.64,5.81,6.5,0.83,0.14,0.72,34.0,48.0
