,Year,BGCAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,6.76,4.21,7.5,2.54,-0.75,1.39,355.0,58.0
1,2013,3.49,-2.02,0.29,5.51,3.2,1.4,185.0,17.0
2,YTD,1.19,5.87,1.86,-4.68,-0.67,1.32,207.0,57.0
