,Year,PAULX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2009,,,,,,1.2,37.0,37.0
1,2010,14.29,15.06,14.01,-0.77,0.28,1.2,61.0,43.0
2,2011,1.12,2.11,-1.27,-1.0,2.39,1.2,74.0,30.0
3,2012,16.37,16.0,14.96,0.37,1.41,1.2,73.0,28.0
4,2013,31.74,32.39,31.5,-0.65,0.24,1.2,69.0,52.0
5,YTD,11.98,13.98,11.28,-1.99,0.7,0.7,0.7,49.0
