,Year,JIBBX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,7.26,14.31,7.36,-7.05,-0.11,0.2,84.0,44.0
1,YTD,5.48,5.81,5.03,-0.32,0.45,0.19,86.0,40.0
