,Year,REBAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,,,,,,1.39,32.0,32.0
1,2007,5.76,6.97,5.36,-1.2,0.41,1.33,41.0,27.0
2,2008,-19.57,5.24,-17.64,-24.81,-1.93,1.4,82.0,66.0
3,2009,41.73,5.93,32.43,35.8,9.3,1.27,62.0,21.0
4,2010,15.86,6.54,12.34,9.32,3.52,1.31,38.0,5.0
5,2011,5.58,7.84,1.98,-2.26,3.6,1.28,24.0,32.0
6,2012,20.42,4.21,17.95,16.2,2.47,1.16,21.0,16.0
7,2013,-7.05,-2.02,-7.27,-5.03,0.21,1.13,26.0,47.0
8,YTD,5.1,5.87,3.43,-0.76,1.67,1.67,1.67,38.0
