,Year,FGLLX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,40.26,15.29,25.19,24.97,15.07,0.6,7.0,4.0
1,YTD,8.25,-0.27,4.54,8.52,3.71,0.81,16.0,16.0
