,Year,IUAEX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,25.49,16.83,18.29,8.66,7.2,1.32,40.0,4.0
1,2013,15.99,15.29,19.44,0.71,-3.44,1.32,65.0,79.0
2,YTD,-2.53,-0.27,-1.63,-2.26,-0.9,-0.9,-0.9,63.0
