,Year,FTEDX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,19.87,16.83,18.15,3.04,1.73,1.62,70.0,36.0
1,2013,0.7,15.29,-0.14,-14.59,0.84,1.62,120.0,32.0
2,YTD,1.51,-0.27,1.96,1.78,-0.45,-0.45,-0.45,56.0
