,Year,CTHAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,0.08,0.08,0.08
1,2013,23.42,14.31,21.31,9.12,2.11,0.39,0.39,29.0
2,YTD,6.93,5.81,6.72,1.13,0.22,0.22,0.22,38.0
