,Year,CNEAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,0.08,0.08,0.08
1,2013,7.33,14.31,7.23,-6.98,0.1,0.47,0.47,52.0
2,YTD,6.34,5.81,4.98,0.54,1.36,1.36,1.36,20.0
