,Year,PRIGX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,0.75,14.0,14.0
1,2013,30.92,15.29,25.19,15.63,5.73,0.75,81.0,16.0
2,YTD,8.41,-0.27,4.54,8.68,3.87,3.87,3.87,15.0
