,Year,MLPNX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,3.87,15.83,4.09,-11.95,-0.22,1.75,69.0,47.0
1,2013,31.18,26.68,23.24,4.51,7.94,1.75,15.0,13.0
2,YTD,14.08,6.66,11.07,7.43,3.02,3.02,3.02,13.0
