,Year,BAEDX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,1.18,89.0,89.0
1,2009,23.88,5.93,32.43,17.95,-8.55,1.16,109.0,76.0
2,2010,11.02,6.54,12.34,4.48,-1.32,1.2,164.0,73.0
3,2011,4.81,7.84,1.98,-3.03,2.83,1.25,195.0,44.0
4,2012,19.75,4.21,17.95,15.54,1.8,1.25,193.0,22.0
5,2013,-9.59,-2.02,-7.27,-7.56,-2.32,1.25,214.0,69.0
6,YTD,0.98,5.87,3.43,-4.89,-2.45,-2.45,-2.45,71.0
