,Year,FRAVX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,1.25,5.0,5.0
1,2008,-32.2,-37.0,-36.77,4.8,4.56,1.25,21.0,16.0
2,2009,24.94,26.46,35.41,-1.52,-10.47,1.21,39.0,91.0
3,2010,21.8,15.06,21.92,6.74,-0.12,1.2,27.0,54.0
4,2011,-5.68,2.11,-3.96,-7.79,-1.72,1.2,35.0,65.0
5,2012,12.79,16.0,16.6,-3.21,-3.81,1.2,27.0,80.0
6,2013,35.71,32.39,35.14,3.33,0.57,1.23,27.0,43.0
7,YTD,0.86,13.98,8.68,-13.12,-7.82,-7.82,-7.82,96.0
