,Year,LIPIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.24,0.24,0.24
1,2012,16.35,12.04,15.07,4.31,1.28,0.21,3.0,22.0
2,2013,21.56,14.31,21.02,7.26,0.54,0.2,12.0,66.0
3,YTD,8.5,5.81,6.68,2.7,1.82,1.82,1.82,13.0
