,Year,NYAAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,10.92,10.7,9.85,0.22,1.07,0.67,16.0,21.0
1,2012,8.21,6.78,8.18,1.43,0.03,0.63,15.0,39.0
2,2013,-4.36,-2.55,-5.32,-1.81,0.96,0.59,23.0,34.0
3,YTD,9.04,8.5,9.94,0.53,-0.9,0.63,25.0,60.0
