,Year,OAAIX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,14.24,26.65,19.72,-12.42,-5.48,0.68,7.0,52.0
1,2007,7.5,16.65,11.28,-9.15,-3.77,0.5,2.0,32.0
2,2008,-41.69,-45.53,-41.91,3.84,0.22,0.45,2.0,82.0
3,2009,40.24,41.45,35.27,-1.21,4.97,0.54,5.0,8.0
4,2010,16.8,11.15,13.74,5.64,3.05,0.58,11.0,14.0
5,2011,-8.33,-13.71,-7.93,5.37,-0.4,0.51,54.0,93.0
6,2012,17.6,16.83,15.84,0.77,1.76,0.48,5.0,37.0
7,2013,28.08,15.29,25.19,12.8,2.9,0.47,17.0,32.0
8,YTD,3.55,-0.27,4.54,3.82,-0.99,0.47,6.0,63.0
