,Year,TEPAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,0.19,36.0,36.0
1,2013,-1.07,-2.55,-2.27,1.48,1.19,0.45,28.0,13.0
2,YTD,4.95,8.5,6.44,-3.55,-1.49,-1.49,-1.49,80.0
