,Year,AAHTX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,0.35,0.35,0.35
1,2008,-35.56,-22.19,-38.11,-13.37,2.55,0.26,2.0,19.0
2,2009,31.55,21.77,30.88,9.77,0.66,0.31,0.31,41.0
3,2010,12.67,12.33,14.6,0.33,-1.93,0.39,4.0,88.0
4,2011,-2.7,0.59,-4.1,-3.29,1.4,0.39,1.0,18.0
5,2012,16.36,12.04,15.31,4.31,1.05,0.38,3.0,19.0
6,2013,26.23,14.31,22.0,11.92,4.23,0.36,2.0,3.0
7,YTD,8.28,5.81,6.65,2.47,1.63,1.63,1.63,14.0
