,Year,FBIFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,14.58,12.33,14.37,2.24,0.2,0.03,22.0,51.0
1,2011,-2.51,0.59,-3.49,-3.1,0.98,0.05,13.0,18.0
2,2012,12.9,12.04,14.64,0.86,-1.74,0.08,16.0,86.0
3,2013,18.68,14.31,19.97,4.37,-1.3,0.09,8.0,75.0
4,YTD,7.82,5.81,6.5,2.01,1.32,0.08,26.0,22.0
