,Year,FRTAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,,,,,,0.5,8.0,8.0
1,2007,11.05,8.63,7.02,2.42,4.03,0.48,15.0,2.0
2,2008,-35.97,-22.19,-37.04,-13.78,1.07,0.49,8.0,44.0
3,2009,35.04,21.77,30.06,13.27,4.99,0.45,20.0,10.0
4,2010,14.78,12.33,14.28,2.45,0.5,0.45,23.0,36.0
5,2011,-2.97,0.59,-3.51,-3.56,0.54,0.45,29.0,30.0
6,2012,10.33,12.04,14.64,-1.71,-4.31,0.45,27.0,98.0
7,2013,22.06,14.31,20.0,7.76,2.07,0.38,50.0,36.0
8,YTD,5.84,5.81,6.47,0.03,-0.63,-0.63,-0.63,68.0
