,Year,FURAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-28.63,-22.19,-18.06,-6.43,-10.57,0.25,44.0,53.0
1,2009,26.7,21.77,18.36,4.93,8.34,0.25,39.0,33.0
2,2010,12.65,12.33,8.94,0.31,3.71,0.25,26.0,35.0
3,2011,-1.7,0.59,1.6,-2.29,-3.3,0.25,19.0,88.0
4,2012,12.29,12.04,9.01,0.25,3.28,0.25,62.0,9.0
5,2013,16.81,14.31,7.36,2.51,9.45,0.25,25.0,7.0
6,YTD,6.29,5.81,5.03,0.48,1.26,0.25,25.0,17.0
