,Year,BROAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,21.09,16.65,11.28,4.44,9.81,9.81,9.81,7.0
1,2008,-38.79,-45.53,-41.91,6.74,3.12,1.59,181.0,28.0
2,2009,34.5,41.45,35.27,-6.95,-0.77,1.61,190.0,42.0
3,2010,10.6,11.15,13.74,-0.55,-3.14,1.67,146.0,70.0
4,2011,-12.43,-13.71,-7.93,1.28,-4.5,1.61,137.0,76.0
5,2012,14.53,16.83,15.84,-2.3,-1.31,1.33,122.0,62.0
6,2013,29.91,15.29,25.19,14.62,4.72,1.33,149.0,20.0
7,YTD,-2.79,-0.27,4.54,-2.52,-7.33,1.33,99.0,93.0
