,Year,VEDTX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,55.52,5.24,27.67,50.28,27.86,0.11,36.0,1.0
1,2009,-36.65,5.93,-17.51,-42.58,-19.14,0.11,39.0,100.0
2,2010,10.28,6.54,11.65,3.74,-1.37,0.11,24.0,62.0
3,2011,55.79,7.84,32.9,47.95,22.9,0.11,22.0,4.0
4,2012,3.25,4.21,3.87,-0.97,-0.62,0.1,47.0,74.0
5,2013,-20.89,-2.02,-13.34,-18.87,-7.55,0.1,31.0,91.0
6,YTD,38.42,5.87,19.07,32.55,19.35,0.1,17.0,4.0
