,Year,FEMPX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,10.57,14.31,8.3,-3.74,2.27,0.06,1.0,27.0
1,YTD,5.49,5.81,4.98,-0.31,0.52,0.06,24.0,29.0
